Navami,07-09-2023,11:44:00,08-09-2023,13:00:00
Thasami,08-09-2023,13:00:00,09-09-2023,14:47:00
Egadashi,09-09-2023,14:47:00,10-09-2023,16:58:00
Duvadasi,10-09-2023,16:58:00,11-09-2023,19:22:00
Thirayodasi,11-09-2023,19:22:00,12-09-2023,21:51:00
Sathuradasi,12-09-2023,21:51:00,14-09-2023,00:18:00
Amavasai,14-09-2023,00:18:00,15-09-2023,02:39:00
Pirathamai,15-09-2023,02:39:00,16-09-2023,04:47:00
Thuthiyai,16-09-2023,04:47:00,17-09-2023,00:00:00
Thuthiyai,17-09-2023,00:00:00,17-09-2023,06:38:00
Thiruthiyai,17-09-2023,06:38:00,18-09-2023,08:09:00
Sathurthi,18-09-2023,08:09:00,19-09-2023,09:13:00
Panjami,19-09-2023,09:13:00,20-09-2023,09:46:00
Shasti,20-09-2023,09:46:00,21-09-2023,09:44:00
Sapthami,21-09-2023,09:44:00,22-09-2023,09:05:00
Astami,22-09-2023,09:05:00,23-09-2023,07:47:00
Navami,22-09-2023,09:05:00,24-09-2023,05:53:00
Thasami,01-01-0001,00:00:00,25-09-2023,03:25:00
Egadashi,25-09-2023,03:25:00,26-09-2023,00:30:00
Duvadasi,26-09-2023,00:30:00,26-09-2023,21:15:00
Thirayodasi,26-09-2023,21:15:00,27-09-2023,17:48:00
Sathuradasi,27-09-2023,17:48:00,28-09-2023,14:19:00
Pournami,28-09-2023,14:19:00,29-09-2023,10:56:00
Pirathamai,29-09-2023,10:56:00,30-09-2023,07:51:00
Thuthiyai,29-09-2023,10:56:00,01-10-2023,05:11:00
Thiruthiyai,30-09-2023,07:51:00,02-10-2023,03:06:00
Sathurthi,02-10-2023,03:06:00,03-10-2023,01:41:00
Panjami,03-10-2023,01:41:00,04-10-2023,01:03:00
Shasti,04-10-2023,01:03:00,05-10-2023,01:11:00
Sapthami,05-10-2023,01:11:00,06-10-2023,02:04:00
Astami,06-10-2023,02:04:00,07-10-2023,03:38:00
Navami,07-10-2023,03:38:00,08-10-2023,05:42:00
Thasami,08-10-2023,05:42:00,09-10-2023,00:00:00
Thasami,09-10-2023,00:00:00,09-10-2023,08:06:00
Egadashi,09-10-2023,08:06:00,10-10-2023,10:38:00
Duvadasi,10-10-2023,10:38:00,11-10-2023,13:07:00
Thirayodasi,11-10-2023,13:07:00,12-10-2023,15:23:00
Sathuradasi,12-10-2023,15:23:00,13-10-2023,17:20:00
Amavasai,13-10-2023,17:20:00,14-10-2023,18:54:00
Pirathamai,14-10-2023,18:54:00,15-10-2023,20:02:00
Thuthiyai,15-10-2023,20:02:00,16-10-2023,20:43:00
Thiruthiyai,16-10-2023,20:43:00,17-10-2023,20:56:00
Sathurthi,17-10-2023,20:56:00,18-10-2023,20:42:00
Panjami,18-10-2023,20:42:00,19-10-2023,20:01:00
Shasti,19-10-2023,20:01:00,20-10-2023,18:54:00
Sapthami,20-10-2023,18:54:00,21-10-2023,17:23:00
Astami,21-10-2023,17:23:00,22-10-2023,15:28:00
